passport_id,region,revenue,group
135342321,Новосибирск,320,0
142791180,Новосибирск,2173,1
123514803,Новосибирск,215,0
124568474,Новосибирск,1720,0
141887661,Новосибирск,645,0
134499917,Новосибирск,350,0
123673601,Новосибирск,1035,0
132665660,Новосибирск,470,0
133682575,Новосибирск,720,0
123947132,Новосибирск,1825,1
142867494,Новосибирск,525,0
134765249,Новосибирск,144,1
127730043,Новосибирск,430,0
138555218,Новосибирск,225,1
142991058,Новосибирск,3600,0
142949138,Новосибирск,1188,1
124266129,Новосибирск,2190,0
141571063,Новосибирск,1578,1
137365155,Новосибирск,160,0
139906520,Новосибирск,1480,0
136442795,Новосибирск,660,1
142532740,Новосибирск,660,1
137329343,Новосибирск,4346,0
134468155,Новосибирск,297,1
123947947,Новосибирск,1308,1
123820067,Новосибирск,1092,1
132503530,Новосибирск,710,0
128779605,Новосибирск,430,0
136597045,Новосибирск,525,0
129801101,Новосибирск,184,1
125287578,Новосибирск,300,0
134803677,Новосибирск,430,0
134081315,Новосибирск,144,1
142731130,Новосибирск,1845,1
140247823,Новосибирск,157,1
134696693,Новосибирск,11173,0
133028539,Новосибирск,1224,1
132365676,Новосибирск,157,1
142956396,Новосибирск,430,0
136518901,Новосибирск,1032,1
135026343,Новосибирск,405,1
140403265,Новосибирск,193,1
132372156,Новосибирск,2655,0
142357870,Новосибирск,297,1
141382425,Новосибирск,175,0
132726704,Новосибирск,5420,0
142145470,Новосибирск,1720,1
137318257,Новосибирск,1190,0
142369802,Новосибирск,590,0
138476216,Новосибирск,660,0
135117121,Новосибирск,350,0
142839520,Новосибирск,135,1
135652699,Новосибирск,430,0
134190293,Новосибирск,330,0
138066277,Новосибирск,175,0
123709407,Новосибирск,480,0
141516329,Новосибирск,387,1
129872393,Новосибирск,640,0
124556935,Новосибирск,1062,1
132224903,Новосибирск,3796,1
135760751,Новосибирск,160,0
136757203,Новосибирск,410,0
142737922,Новосибирск,1032,1
133017589,Новосибирск,5000,0
123499672,Новосибирск,960,0
137937179,Новосибирск,1410,1
124013566,Новосибирск,157,1
141157511,Новосибирск,4075,1
131344069,Новосибирск,672,1
133901215,Новосибирск,184,1
141981272,Новосибирск,4923,1
132238790,Новосибирск,860,0
135585083,Новосибирск,430,0
131619225,Новосибирск,288,1
134277137,Новосибирск,3796,0
124407034,Новосибирск,688,0
133985829,Новосибирск,2012,1
138083915,Новосибирск,250,0
134464479,Новосибирск,315,1
124111903,Новосибирск,387,1
138669028,Новосибирск,315,1
140429435,Новосибирск,297,1
136190191,Новосибирск,472,1
142452498,Новосибирск,160,0
142989658,Новосибирск,535,0
123507343,Новосибирск,540,1
127815809,Новосибирск,344,0
141559327,Новосибирск,4346,1
136976137,Новосибирск,2655,1
143046044,Новосибирск,680,1
142852378,Новосибирск,330,0
136318377,Новосибирск,337,1
135950371,Новосибирск,1180,0
136466245,Новосибирск,531,1
131833667,Новосибирск,860,0
124223112,Новосибирск,175,0
139954046,Новосибирск,2710,1
140284975,Новосибирск,315,1
140444735,Новосибирск,390,0
133021239,Новосибирск,351,1
135420585,Новосибирск,660,0
137356005,Новосибирск,184,1
131853701,Новосибирск,1825,1
123903240,Новосибирск,175,0
123768448,Новосибирск,157,1
138770970,Новосибирск,1578,1
138550548,Новосибирск,180,0
135656639,Новосибирск,315,1
135896463,Новосибирск,387,1
142239098,Новосибирск,1032,1
131863287,Новосибирск,2200,0
133601415,Новосибирск,1170,0
136488447,Новосибирск,454,1
133952325,Новосибирск,576,1
131937289,Новосибирск,504,0
125153676,Новосибирск,540,1
136709163,Новосибирск,5515,1
126617593,Новосибирск,144,1
133166095,Новосибирск,144,1
137407641,Новосибирск,344,0
142585228,Новосибирск,860,0
128486029,Новосибирск,300,0
137131355,Новосибирск,175,0
136981087,Новосибирск,175,0
142821608,Новосибирск,157,1
125540892,Новосибирск,288,1
140463023,Новосибирск,144,1
133496363,Новосибирск,2252,1
134534747,Новосибирск,175,0
127147175,Новосибирск,480,0
143105108,Новосибирск,3796,1
142991032,Новосибирск,660,1
125160572,Новосибирск,4331,1
137726263,Новосибирск,860,0
142470956,Новосибирск,1032,1
126721339,Новосибирск,350,0
139829620,Новосибирск,1674,1
138553324,Новосибирск,1250,0
137398489,Новосибирск,351,1
132262130,Новосибирск,157,1
133746347,Новосибирск,135,1
137319949,Новосибирск,1130,0
124739405,Новосибирск,205,0
132992471,Новосибирск,175,0
137409133,Новосибирск,910,0
142978000,Новосибирск,205,0
124051299,Новосибирск,430,0
138795166,Новосибирск,1260,1
142891662,Новосибирск,6040,1
137806333,Новосибирск,175,0
132201969,Новосибирск,250,0
133335573,Новосибирск,144,1
133310685,Новосибирск,387,1
134299827,Новосибирск,320,0
129125613,Новосибирск,160,0
132600590,Новосибирск,297,1
123943175,Новосибирск,344,0
126792027,Новосибирск,135,1
137281093,Новосибирск,900,1
136725697,Новосибирск,184,1
142588930,Новосибирск,350,0
123604827,Новосибирск,430,0
126140459,Новосибирск,1830,1
142016910,Новосибирск,1548,1
136460897,Новосибирск,430,0
134829859,Новосибирск,2200,0
133559203,Новосибирск,175,0
129691609,Новосибирск,660,0
141975672,Новосибирск,157,1
128291781,Новосибирск,144,1
134155459,Новосибирск,175,0
124133170,Новосибирск,1492,1
123717478,Новосибирск,1990,1
125115506,Новосибирск,215,0
128088795,Новосибирск,135,1
140048300,Новосибирск,9690,1
138102865,Новосибирск,472,1
132100299,Новосибирск,330,0
133932483,Новосибирск,175,0
141270163,Новосибирск,1290,0
134034323,Новосибирск,157,1
143088182,Новосибирск,2913,0
133483493,Новосибирск,297,1
125597533,Новосибирск,645,0
129524747,Новосибирск,205,0
141652463,Новосибирск,660,1
123513734,Новосибирск,645,0
133237729,Новосибирск,7592,1
132837925,Новосибирск,315,1
142262390,Новосибирск,315,1
132591660,Новосибирск,430,0
132957885,Новосибирск,330,0
139934564,Новосибирск,157,1
129311505,Новосибирск,1674,1
143089828,Новосибирск,369,1
143034262,Новосибирск,984,1
131564401,Новосибирск,250,0
133416733,Новосибирск,330,0
132242368,Новосибирск,162,1
124266919,Новосибирск,1284,1
132521478,Новосибирск,157,1
138733392,Новосибирск,960,1
134369111,Новосибирск,2310,1
135351319,Новосибирск,1770,1
133468787,Новосибирск,430,0
133189795,Новосибирск,350,0
128407499,Новосибирск,315,1
126312295,Новосибирск,1062,1
137125447,Новосибирск,157,1
142485162,Новосибирск,4525,1
142786110,Новосибирск,175,0
123521154,Новосибирск,14255,1
142575248,Новосибирск,525,0
133376521,Новосибирск,525,0
129247543,Новосибирск,4384,0
142160738,Новосибирск,288,1
132693092,Новосибирск,4216,0
138657092,Новосибирск,157,1
135939463,Новосибирск,297,1
142968622,Новосибирск,990,0
140154131,Новосибирск,330,0
127931239,Новосибирск,3895,0
137448385,Новосибирск,2348,0
134856707,Новосибирск,144,1
140114434,Новосибирск,175,0
126924161,Новосибирск,157,1
131600769,Новосибирск,9491,1
128244067,Новосибирск,144,1
142809514,Новосибирск,531,1
137479633,Новосибирск,144,1
136638985,Новосибирск,680,0
141040329,Новосибирск,432,1
140780189,Новосибирск,1254,1
137651823,Новосибирск,300,0
128298593,Новосибирск,215,0
142936486,Новосибирск,288,1
123642455,Новосибирск,150,0
136959631,Новосибирск,315,1
136008065,Новосибирск,2090,0
143029004,Новосибирск,297,1
137854913,Новосибирск,2599,0
133544815,Новосибирск,157,1
135647297,Новосибирск,144,1
133083399,Новосибирск,175,0
142599436,Новосибирск,531,1
139880554,Новосибирск,6720,1
141830441,Новосибирск,205,0
126203663,Новосибирск,350,0
135383627,Новосибирск,157,1
137320943,Новосибирск,157,1
126013087,Новосибирск,835,0
128888579,Новосибирск,900,1
129191999,Новосибирск,5006,0
142925010,Новосибирск,1638,1
142756482,Новосибирск,144,1
123649225,Новосибирск,942,1
